date,time,accel_X,accel_Y,accel_Z
8-6-2020,10:0:1,576,,
8-6-2020,10:0:1,551,,
8-6-2020,10:0:1,538,,
8-6-2020,10:0:1,541,,
8-6-2020,10:0:1,542,,
8-6-2020,10:0:1,543,,
8-6-2020,10:0:1,529,,
8-6-2020,10:0:1,540,,
8-6-2020,10:0:1,540,,
8-6-2020,10:0:2,540,,
8-6-2020,10:0:2,550,,
8-6-2020,10:0:2,548,,
8-6-2020,10:0:2,544,,
8-6-2020,10:0:2,534,,
8-6-2020,10:0:2,506,,
8-6-2020,10:0:2,506,,
8-6-2020,10:0:2,507,,
8-6-2020,10:0:2,474,,
8-6-2020,10:0:2,462,,
8-6-2020,10:0:2,445,,
8-6-2020,10:0:3,437,,
8-6-2020,10:0:3,436,,
8-6-2020,10:0:3,427,,
8-6-2020,10:0:3,426,,
8-6-2020,10:0:3,419,,
8-6-2020,10:0:3,418,,
8-6-2020,10:0:3,420,,
8-6-2020,10:0:3,416,,
8-6-2020,10:0:3,420,,
8-6-2020,10:0:4,416,,
8-6-2020,10:0:4,420,,
8-6-2020,10:0:4,420,,
8-6-2020,10:0:4,420,,
8-6-2020,10:0:4,417,,
8-6-2020,10:0:4,419,,
8-6-2020,10:0:4,420,,
8-6-2020,10:0:4,420,,
8-6-2020,10:0:4,419,,
8-6-2020,10:0:4,424,,
8-6-2020,10:0:4,415,,
8-6-2020,10:0:5,424,,
8-6-2020,10:0:5,417,,
8-6-2020,10:0:5,438,,
8-6-2020,10:0:5,443,,
8-6-2020,10:0:5,449,,
8-6-2020,10:0:5,466,,
8-6-2020,10:0:5,450,,
8-6-2020,10:0:5,465,,
8-6-2020,10:0:5,471,,
8-6-2020,10:0:6,469,,
8-6-2020,10:0:6,465,,
8-6-2020,10:0:6,461,,
8-6-2020,10:0:6,463,,
8-6-2020,10:0:6,469,,
8-6-2020,10:0:6,468,,
8-6-2020,10:0:6,476,,
8-6-2020,10:0:6,469,,
8-6-2020,10:0:6,477,,
8-6-2020,10:0:6,507,,
8-6-2020,10:0:6,551,,
8-6-2020,10:0:7,553,,
8-6-2020,10:0:7,623,,
8-6-2020,10:0:7,643,,
8-6-2020,10:0:7,247,,
8-6-2020,10:0:7,481,,
8-6-2020,10:0:7,541,,
8-6-2020,10:0:7,503,,
8-6-2020,10:0:7,504,,
8-6-2020,10:0:7,507,,
8-6-2020,10:0:8,501,,
8-6-2020,10:0:8,503,,
8-6-2020,10:0:8,499,,
8-6-2020,10:0:8,507,,
8-6-2020,10:0:8,503,,
8-6-2020,10:0:8,350,,
8-6-2020,10:0:8,640,,
8-6-2020,10:0:8,640,,
8-6-2020,10:0:8,560,,
8-6-2020,10:0:8,527,,
8-6-2020,10:0:8,528,,
8-6-2020,10:0:9,529,,
8-6-2020,10:0:9,529,,
8-6-2020,10:0:9,527,,
8-6-2020,10:0:9,574,,
8-6-2020,10:0:9,672,,
8-6-2020,10:0:9,245,,
8-6-2020,10:0:9,476,,
8-6-2020,10:0:9,515,,
8-6-2020,10:0:9,507,,
8-6-2020,10:0:10,491,,
8-6-2020,10:0:10,493,,
8-6-2020,10:0:10,498,,
8-6-2020,10:0:10,506,,
8-6-2020,10:0:10,506,,
8-6-2020,10:0:10,531,,
8-6-2020,10:0:10,519,,
8-6-2020,10:0:10,522,,
8-6-2020,10:0:10,487,,
8-6-2020,10:0:10,536,,
8-6-2020,10:0:10,522,,
8-6-2020,10:0:11,523,,
8-6-2020,10:0:11,524,,
